"english","iso3","latLong","bbc-region-code"
"Serbia","SRB","44.4141272993523, 20.7902071905549","region_eu"
"British Indian Ocean Territory","IOT","-7.19195760979793, 72.2988070103603","region_af"
"Guyana","GUY","4.82541876028894, -58.9800866249185","region_am_lac"
"Honduras","HND","14.9163778987637, -86.6252566181024","region_am_lac"
"Iraq","IRQ","33.2145658654154, 43.7452613942025","region_me"
"Croatia","HRV","45.2597982167603, 16.3985272812336","region_eu"
"Denmark","DNK","56.1433503093415, 10.0514515858449","region_eu"
"Belgium","BEL","50.825855152093, 4.63999953636635","region_eu"
"United Kingdom","GBR","52.7798377490484, -1.45867877115571","region_eu"
"Nepal","NPL","28.4083700064624, 83.91657947272","region_as"
"Gabon","GAB","-0.595629589614898, 11.7895708506099","region_af"
"Peru","PER","-9.21281931842579, -74.378568831662","region_am_lac"
"Saint Pierre and Miquelon","SPM","46.949338, -56.338322","region_am_na"
"Hungary","HUN","47.3548081329283, 19.3966581079891","region_eu"
"Indonesia","IDN","-7.387970, 110.662737","region_as"
"The self-declared Turkish Republic of Northern Cyprus",NA,"35.4611748506474, 33.6022948885322",NA
"Spratly Islands","PGA","NA, NA","region_as"
"India","IND","22.5996265063822, 79.7310288548398","region_as"
"Ireland","IRL","53.3622986047641, -8.14508148481615","region_eu"
"US Outlying Islands","UMI","-0.382191742761513, -160.019755777874","region_oc"
"Sri Lanka","LKA","7.66655343200997, 80.7031703086549","region_as"
"Lithuania","LTU","55.5066065792228, 23.8882918427385","region_eu"
"Latvia","LVA","57.0275556601459, 24.9086543311511","region_eu"
"Mali","MLI","17.4515487085739, -3.53966853297399","region_af"
"Mongolia","MNG","47.0159580384141, 103.056740347024","region_as"
"Mozambique","MOZ","-17.3760354949907, 35.5389551862888","region_af"
"Mauritius","MUS","-20.3103588216783, 57.849714007644","region_af"
"Malawi","MWI","-13.3025718730166, 34.2898243776505","region_af"
"Malaysia","MYS","3.896035, 102.274771","region_as"
"Namibia","NAM","-22.2612155951314, 17.210966589322","region_af"
"Netherlands","NLD","52.4538763268437, 5.58420418504886","region_eu"
"Norway","NOR","61.009597, 9.135437","region_eu"
"Nauru","NRU","-0.524292502264525, 166.933131929404","region_oc"
"Philippines","PHL","11.8380141700932, 122.874932879089","region_as"
"Papua New Guinea","PNG","-6.51989901626033, 145.024699036077","region_oc"
"Poland","POL","52.3103502456251, 19.3944702868045","region_eu"
"North Korea","PRK","40.3569675972529, 127.180941025914","region_as"
"Portugal","PRT","39.8688935991845, -7.97484307766301","region_eu"
"Paraguay","PRY","-23.3661736582575, -58.3989163777749","region_am_lac"
"French Polynesia","PYF","-15.283109128418, -145.050681063924","region_oc"
"Netherlands Antilles","SXM","18.1542499164026, -63.0701310062744","region_am_lac"
